policy,question,case_id,case_hash,case_seed,source_count,scenario,complete,verifier_all_ok,world_match,cleared_count,sources_total,clear_rate,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,move_distance_m,n_measures,n_switches,n_clear_attempts,parameter_sha256,metrics_path,ledger_error_s,accepted
v2_final,q3,paper_q3_n16_s950040,372a6ac63171fcb0f8d2d09d61b7c4f3e9ac70509316f5fd4e875c55cf4c373e,950040,16,random,True,True,True,16,16,1.0,195.53222733533394,3128.515637365343,2355.5156373653426,580.0,110.0,83.0,11777.578186826713,116,110,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950040/metrics.json,-4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950041,7013bc1a183c58a4b86368cf23f39a622c307704019dbf412a2ef628f617a426,950041,16,random,True,True,True,16,16,1.0,207.35678925558256,3317.708628089321,2637.708628089321,500.0,91.0,89.0,13188.5431404466,100,91,19,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950041/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950042,8985a0acf9ff3752eff344987a14d37db3a53efe3207d6e80320b0cab10d7908,950042,16,random,True,True,True,16,16,1.0,186.8141763303141,2989.0268212850256,2326.0268212850247,490.0,90.0,83.0,11630.134106425126,98,90,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950042/metrics.json,-9.094947017729282e-13,True
v2_final,q3,paper_q3_n16_s950043,838c4ab65fb30cf0cb282ba3c6fcb53c26aecca0d6069c1704d5dc8a17057a39,950043,16,random,True,True,True,16,16,1.0,201.82828182281318,3229.252509165011,2455.252509165011,580.0,108.0,86.0,12276.262545825053,116,108,18,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950043/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950044,6fcc4f216a709b6ffab49583c5f5ccfb80ba404980b873b0f64317faf928d271,950044,16,random,True,True,True,16,16,1.0,184.55682911128116,2952.9092657804986,2216.9092657804977,545.0,105.0,86.0,11084.546328902492,109,105,18,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950044/metrics.json,-9.094947017729282e-13,True
v2_final,q3,paper_q3_n16_s950045,e925988c4521667e68dd1b903d3b68dabfbf65596e8bec04f6b1ff87c188fab4,950045,16,random,True,True,True,16,16,1.0,191.38524068703563,3062.16385099257,2382.16385099257,500.0,94.0,86.0,11910.81925496285,100,94,18,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950045/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950046,c0a1489ae1e8e1fe6d48a4008508b8dd1fb69b8ee626c2bd98fd3738ed3ea631,950046,16,random,True,True,True,16,16,1.0,170.69132986871472,2731.0612778994355,1988.0612778994353,555.0,105.0,83.0,9940.306389497176,111,105,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950046/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950047,036704ea64775d1dc304a02fedd2c349f6aba9c75c30bde13ee49118186d0749,950047,16,random,True,True,True,16,16,1.0,229.64423579840457,3674.307772774473,2945.307772774473,545.0,98.0,86.0,14726.538863872365,109,98,18,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950047/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950048,9027b6e1c14d0444d6be56a029e91132a89953fc48a86ee6ce4ab2da3fb3aced,950048,16,random,True,True,True,16,16,1.0,180.4163984572733,2886.6623753163726,2177.6623753163726,525.0,101.0,83.0,10888.311876581865,105,101,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950048/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950049,7543e540b56e05cf2bc35a3795d8b6d6b43901365cfd23c47b21f5aaa9b9f23a,950049,16,random,True,True,True,16,16,1.0,193.2895927132181,3092.6334834114896,2415.6334834114905,500.0,91.0,86.0,12078.167417057452,100,91,18,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950049/metrics.json,9.094947017729282e-13,True
